Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
Nowels,NNP,PROPN,Proper Noun,nowels,"noun, proper singular",36
called,VBD,VERB,Verb,call,"verb, past tense",36
press,NN,NOUN,Noun,press,"noun, singular or mass",36
conference,NN,NOUN,Noun,conference,"noun, singular or mass",36
announce,VB,VERB,Verb,announce,"verb, base form",36
believe,VBP,VERB,Verb,believe,"verb, non-3rd person singular present",36
fire,NN,NOUN,Noun,fire,"noun, singular or mass",36
set,VBN,VERB,Verb,set,"verb, past participle",36
SOUNDBITE,NNP,PROPN,Proper Noun,soundbite,"noun, proper singular",37
PRESS,NNP,PROPN,Proper Noun,press,"noun, proper singular",37
CONFERENCE,NNP,PROPN,Proper Noun,conference,"noun, proper singular",37
JOHN,NNP,PROPN,Proper Noun,john,"noun, proper singular",38
NOWELS,VBZ,VERB,Verb,nowel,"verb, 3rd person singular present",38
took,VBD,VERB,Verb,take,"verb, past tense",38
year,NN,NOUN,Noun,year,"noun, singular or mass",38
Aaron,NNP,PROPN,Proper Noun,aaron,"noun, proper singular",38
Farinacci,NNP,PROPN,Proper Noun,farinacci,"noun, proper singular",38
convicted,VBN,VERB,Verb,convict,"verb, past participle",38
felon,NN,NOUN,Noun,felon,"noun, singular or mass",38
custody,NN,NOUN,Noun,custody,"noun, singular or mass",38
charge,NN,NOUN,Noun,charge,"noun, singular or mass",38
arson,NN,NOUN,Noun,arson,"noun, singular or mass",38
degree,NN,NOUN,Noun,degree,"noun, singular or mass",38
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",39
Court,NN,NOUN,Noun,court,"noun, singular or mass",39
documents,NNS,NOUN,Noun,document,"noun, plural",39
show,VBP,VERB,Verb,show,"verb, non-3rd person singular present",39
Farinacci,NNP,PROPN,Proper Noun,farinacci,"noun, proper singular",39
told,VBD,VERB,Verb,tell,"verb, past tense",39
police,NNS,NOUN,Noun,police,"noun, plural",39
started,VBD,VERB,Verb,start,"verb, past tense",39
dozen,NN,NOUN,Noun,dozen,"noun, singular or mass",39
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",39
including,VBG,VERB,Verb,include,"verb, gerund or present participle",39
Old,NNP,PROPN,Proper Noun,old,"noun, proper singular",39
Trails,NNP,PROPN,Proper Noun,trails,"noun, proper singular",39
Authorities,NNS,NOUN,Noun,authority,"noun, plural",40
say,VBP,VERB,Verb,say,"verb, non-3rd person singular present",40
watched,VBD,VERB,Verb,watch,"verb, past tense",40
fire,NN,NOUN,Noun,fire,"noun, singular or mass",40
weather,NN,NOUN,Noun,weather,"noun, singular or mass",40
apps,NNS,NOUN,Noun,app,"noun, plural",40
waited,VBD,VERB,Verb,wait,"verb, past tense",40
conditions,NNS,NOUN,Noun,condition,"noun, plural",40
do,VB,VERB,Verb,do,"verb, base form",40
damage,NN,NOUN,Noun,damage,"noun, singular or mass",40
